Author,Year,Title,Publication Type
Arshad et al.,2015,A survey of cloud computing variable pricing models,Conference
Li et al. ,2014,Price competition in a duopoly iaas cloud market,Conference
Cong et al.,2020,Personality-guided cloud pricing via reinforcement learning,Journal
Teramoto and Huang,2012,Pay as You go in the Cloud: One Watt at a Time,Conference
Gohad et al.,2013,Cloud pricing models: A survey and position paper,Conference
Mudali et al.,2017,QoS Aware Heuristic Provisioning Approach for Cloud Spot Instances,Conference
Samimi and Patel,2011,Review of pricing models for grid & cloud computing,Conference
Markus and Kertesz,2017,Simulating IoT Cloud systems: A meteorological case study,Conference
Cong et al.,2018,Developing user perceived value based pricing models for cloud markets,Journal
Kandpal et al.,2017,Role of predictive modeling in cloud services pricing: a survey,Conference
Mahajan et al.,2019,Optimal pricing for serverless computing,Conference
Belli et al. ,2016,Towards a Cost-Optimized Cloud Application Placement Tool,Conference
"Boza et al.,2017,""Reserved, on demand or serverless: Model-based simulations for cloud budget planning"",Conference"
Adebayo et al.,2020,Cost-Benefit Analysis of Pricing Models in Cloudlets,Conference
Kandpal et al. ,2019,Pricing model for revenue generation using Recurrent Neural Network for Cloud service provider,Conference
Li et al.,2013,Research on pricing model of cloud storage,Conference
Zhang et al. ,2020,A Dynamic Pricing Model for Virtual Machines in Cloud Environments,Conference
Kozhipurath,2012,Cloud service costing challenges,Conference
He et al.,2013,On the Cost–QoE tradeoff for cloud-based video streaming under Amazon EC2's pricing models,Journal
Wang et al.,2013,Revenue maximization with dynamic auctions in IaaS cloud markets,Conference
Martens et al.,2012,Costing of cloud computing services: A total cost of ownership approach,Conference
Nguyen et al. ,2012,Cost Models for View Materialization in the Cloud,Conference
Zhang et al.,2014,Dynamic optimal resource provisioning for VoD services under Amazon EC2's pricing models,Conference
Karthikeyan and Nandhini,2016,Dependent component cost model of legacy application for hybrid cloud,Conference
Motta et al.,2012,Cloud computing: a business and economical perspective,Conference
Choudhary et al.,2022,Comparative Study of Various Cloud Service Providers: A Review,Conference
Nwanganga et al.,2017,A minimum-cost flow model for workload optimization on cloud infrastructure,Conference
Kohli and Ambawade,2014,Costing for cloud users and remediation for its data collection process by pre-recovery mechanism algorithm,Conference
Ribas et al.,2015,Modeling the use of spot instances for cost reduction in cloud computing adoption using a petri net framework,Conference
Hassan et al.,2019,Is Public Cloud Computing Adoption Strategically the Way to Go for All the Enterprises?,Conference
Murthy et al.,2012,Pricing models and pricing schemes of IaaS providers: a comparison study,Conference
Ma and Huang,2012,The pricing model of cloud computing services,Conference
Kansal et al.,2014,Pricing models in cloud computing,Conference
Dreher et al.,2017,Cost analysis comparing HPC public versus private cloud computing,Conference
Mishra et al.,2018,A survey on optimal utilization of preemptible VM instances in cloud computing,Journal
Kumar et al.,2018,A survey on spot pricing in cloud computing,Journal
Umer et al. ,2022,A survey on spot pricing in cloud computing,Journal
Hans et al.,2013,Enabling Virtual Manufacturing Enterprises with Cloud Computing: An Analysis of Criteria for the Selection of Database as a Service Offers,Conference
Lecznar and Patig,2011,Cloud computing providers: Characteristics and recommendations,Conference
Sehgal et al.,2020,Cost and billing practices in cloud,Book
Weinhardt et al.,2009,Cost and billing practices in cloud,Journal
Lowe and Galhotra,2018,An Overview of Pricing Models for Using Cloud Services with analysis on Pay-Per-Use Model,Journal
Kar and Rakshit,2015,Flexible Pricing Models for Cloud Computing Based on Group Decision Making Under Consensus,Journal
"Rimal and Choi,2012,""A service-oriented taxonomical spectrum, cloudy challenges and opportunities of cloud computing"",Journal"
